Feature_Type,Feature_Name,Variables_Used,Target_Correlation,Description,Beneficial
Ratio,TEDAVISURESI_SEANS_SAYI_SCALED_to_UYGULAMAYERLERI_TARGET_ENCODED_ratio,"TEDAVISURESI_SEANS_SAYI_SCALED, UYGULAMAYERLERI_TARGET_ENCODED",0.9775432425599432,Ratio of TEDAVISURESI_SEANS_SAYI_SCALED to UYGULAMAYERLERI_TARGET_ENCODED,False
Interaction,TEDAVISURESI_SEANS_SAYI_SCALED_x_TEDAVISURESI_TOPLAM_DAKIKA_interaction,"TEDAVISURESI_SEANS_SAYI_SCALED, TEDAVISURESI_TOPLAM_DAKIKA",0.6977236484949871,Product of TEDAVISURESI_SEANS_SAYI_SCALED and TEDAVISURESI_TOPLAM_DAKIKA,False
Interaction,TEDAVISURESI_SEANS_SAYI_SCALED_x_TEDAVISURESI_TOPLAM_SAAT_interaction,"TEDAVISURESI_SEANS_SAYI_SCALED, TEDAVISURESI_TOPLAM_SAAT",0.6977236484949854,Product of TEDAVISURESI_SEANS_SAYI_SCALED and TEDAVISURESI_TOPLAM_SAAT,False
Ratio,TEDAVISURESI_SEANS_SAYI_SCALED_to_TEDAVISURESI_TOPLAM_DAKIKA_ratio,"TEDAVISURESI_SEANS_SAYI_SCALED, TEDAVISURESI_TOPLAM_DAKIKA",0.6852998906573728,Ratio of TEDAVISURESI_SEANS_SAYI_SCALED to TEDAVISURESI_TOPLAM_DAKIKA,False
Ratio,TEDAVISURESI_SEANS_SAYI_SCALED_to_TEDAVISURESI_TOPLAM_SAAT_ratio,"TEDAVISURESI_SEANS_SAYI_SCALED, TEDAVISURESI_TOPLAM_SAAT",0.685299890657367,Ratio of TEDAVISURESI_SEANS_SAYI_SCALED to TEDAVISURESI_TOPLAM_SAAT,False
Ratio,TEDAVISURESI_TOPLAM_SAAT_SCALED_to_UYGULAMAYERLERI_TARGET_ENCODED_ratio,"TEDAVISURESI_TOPLAM_SAAT_SCALED, UYGULAMAYERLERI_TARGET_ENCODED",0.613437707321386,Ratio of TEDAVISURESI_TOPLAM_SAAT_SCALED to UYGULAMAYERLERI_TARGET_ENCODED,True
Ratio,TEDAVISURESI_TOPLAM_DAKIKA_SCALED_to_UYGULAMAYERLERI_TARGET_ENCODED_ratio,"TEDAVISURESI_TOPLAM_DAKIKA_SCALED, UYGULAMAYERLERI_TARGET_ENCODED",0.613437707321386,Ratio of TEDAVISURESI_TOPLAM_DAKIKA_SCALED to UYGULAMAYERLERI_TARGET_ENCODED,True
Ratio,TEDAVISURESI_TOPLAM_SAAT_SCALED_to_TEDAVISURESI_TOPLAM_SAAT_ratio,"TEDAVISURESI_TOPLAM_SAAT_SCALED, TEDAVISURESI_TOPLAM_SAAT",0.6007900760991647,Ratio of TEDAVISURESI_TOPLAM_SAAT_SCALED to TEDAVISURESI_TOPLAM_SAAT,True
Ratio,TEDAVISURESI_TOPLAM_DAKIKA_SCALED_to_TEDAVISURESI_TOPLAM_SAAT_ratio,"TEDAVISURESI_TOPLAM_DAKIKA_SCALED, TEDAVISURESI_TOPLAM_SAAT",0.6007900760991647,Ratio of TEDAVISURESI_TOPLAM_DAKIKA_SCALED to TEDAVISURESI_TOPLAM_SAAT,True
Interaction,TEDAVISURESI_TOPLAM_DAKIKA_x_TEDAVISURESI_TOPLAM_SAAT_interaction,"TEDAVISURESI_TOPLAM_DAKIKA, TEDAVISURESI_TOPLAM_SAAT",0.5836201979198931,Product of TEDAVISURESI_TOPLAM_DAKIKA and TEDAVISURESI_TOPLAM_SAAT,True
Polynomial,TEDAVISURESI_TOPLAM_DAKIKA_squared,TEDAVISURESI_TOPLAM_DAKIKA,0.583620197919888,Square of TEDAVISURESI_TOPLAM_DAKIKA,True
Interaction,TEDAVISURESI_TOPLAM_DAKIKA_x_TEDAVISURESI_TOPLAM_DAKIKA_SCALED_interaction,"TEDAVISURESI_TOPLAM_DAKIKA, TEDAVISURESI_TOPLAM_DAKIKA_SCALED",0.5331455336439017,Product of TEDAVISURESI_TOPLAM_DAKIKA and TEDAVISURESI_TOPLAM_DAKIKA_SCALED,False
Interaction,TEDAVISURESI_TOPLAM_DAKIKA_x_TEDAVISURESI_TOPLAM_SAAT_SCALED_interaction,"TEDAVISURESI_TOPLAM_DAKIKA, TEDAVISURESI_TOPLAM_SAAT_SCALED",0.5331455336439016,Product of TEDAVISURESI_TOPLAM_DAKIKA and TEDAVISURESI_TOPLAM_SAAT_SCALED,False
Interaction,TEDAVISURESI_TOPLAM_SAAT_SCALED_x_TEDAVISURESI_TOPLAM_SAAT_interaction,"TEDAVISURESI_TOPLAM_SAAT_SCALED, TEDAVISURESI_TOPLAM_SAAT",0.5331455336438989,Product of TEDAVISURESI_TOPLAM_SAAT_SCALED and TEDAVISURESI_TOPLAM_SAAT,False
Interaction,TEDAVISURESI_TOPLAM_DAKIKA_SCALED_x_TEDAVISURESI_TOPLAM_SAAT_interaction,"TEDAVISURESI_TOPLAM_DAKIKA_SCALED, TEDAVISURESI_TOPLAM_SAAT",0.5331455336438988,Product of TEDAVISURESI_TOPLAM_DAKIKA_SCALED and TEDAVISURESI_TOPLAM_SAAT,False
